points,kd_build,quad_build,kd_querry,quad_querry
1000,0.04069619999972929,0.010430700000142679,0.0003927999996449216,0.0005427999999483291
5000,0.1746224000003167,0.05573069999991276,0.0014986000001044886,0.002812799999901472
10000,0.40493419999984326,0.18971330000022135,0.0036109000002397806,0.007867799999985436
15000,0.7624805999998898,0.24332890000005136,0.004697700000178884,0.009127100000114297
20000,0.9085656000002018,0.3305032000002939,0.007215100000394159,0.013259100000141189
25000,1.1345606999993834,0.4260686000006899,0.008123000000523461,0.019234200000028068
