points,kd_build,quad_build,kd_querry,quad_querry
1000,0.029597300000204996,0.0394335000000865,0.0036944999997103878,0.0012142999999014137
5000,0.14849249999997483,0.04665199999999459,0.005443199999717763,0.006682000000182597
10000,0.2386569000000236,0.10720230000015363,0.03009150000025329,0.008715099999790255
15000,0.37711840000019947,0.22843169999987367,0.014713800000208721,0.0194059999998899
20000,0.5022270999998,0.27228539999987333,0.012435099999947852,0.02137219999985973
25000,0.681919900000139,0.35060980000025666,0.01212390000000596,0.02599270000018805
