points,kd_build,quad_build,kd_querry,quad_querry
1000,0.015603299999384035,0.008054799999626994,0.00031350000062957406,0.0005473999999594525
5000,0.10396480000053998,0.056060599999909755,0.0013005000000703149,0.0029377999999269377
10000,0.2458409999999276,0.12880980000045383,0.0031902000000627595,0.007305900000574184
15000,0.376771700000063,0.29335119999996095,0.004479399999581801,0.01089609999962704
20000,0.5098342000001139,0.33332960000007006,0.006858400000055553,0.013904299999921932
25000,0.6423073000005388,0.4174892999999429,0.007951900000080059,0.017096799999308132
