points,kd_build,quad_build,kd_querry,quad_querry
1000,0.031131900000218593,0.011720299999979034,0.0009129999998549465,0.0006864999995741528
5000,0.11540319999949133,0.06798299999991286,0.0026637000000846456,0.0038674999996146653
10000,0.25188380000054167,0.14657660000011674,0.005321900000126334,0.008827300000120886
15000,0.4097263000003295,0.2571517999995194,0.007759799999803363,0.011724099999810278
20000,0.5654580000000351,0.3461508000000322,0.007353200000579818,0.020506900000327732
25000,0.6945772999997644,0.467709499999728,0.011142500000460132,0.021978800000397314
