points,kd_build,quad_build,kd_querry,quad_querry
1000,0.017039600000316568,0.008213500000238128,0.00040040000021690503,0.0010787999999593012
5000,0.11405869999998686,0.05549909999990632,0.0012221000006320537,0.005406300000686315
10000,0.254661699999815,0.12333920000037324,0.004482299999835959,0.011905900000783731
15000,0.435603899999478,0.19353169999976672,0.0016931000000113272,0.016415199999755714
20000,0.5380556999998589,0.2873853999999483,0.007527799999479612,0.0246579999993628
25000,0.715729100000317,0.3776354000001447,0.008571200000005774,0.029765799999950104
