points,kd_build,quad_build,kd_querry,quad_querry
1000,0.02520930000082444,0.009875899999315152,0.00042040000062115723,0.001124800000070536
5000,0.18597510000017792,0.07118809999974474,0.0015765999996801838,0.005145400000401423
10000,0.4069509000000835,0.21036739999999554,0.0031018999998195795,0.011398699999517703
15000,0.6173602000008032,0.283929199999875,0.043114999999488646,0.020287999999709427
20000,0.8776873000006162,0.307991800000309,0.053832300000067335,0.023538099999314
25000,1.1591028000002552,0.47569449999991775,0.00949659999969299,0.03173860000060813
